Gastos  - Brotherscan Seeds,,,,,,,,
,,,,,,,,
Fecha,Concepto,Monto,Medio Pago,Estado de pago,,,,
2025,,,,,,,,
07/02,Fernet y cocas," $49,000.00",,,Insumos varios,,,
07/02,Soplete," $11,000.00",,,Insumos varios,,,
07/02,Caja Guantes y alcohol x 2," $37,000.00",,,Insumos varios,,,
20/02,Picada cosecha ," $25,000.00",,,Insumos varios,,,
20/02,Sanguches miga," $45,000.00",,,Insumos varios,,,
26/02,Frascos con tapa x 100 un," $110,000.00",,,Insumos varios,,,
27/02,Frascos y armadores," $20,000.00",,,Insumos varios,,,
27/02,Frascos y armadores," $15,000.00",,,Insumos varios,,,
27/02,Hisopos y servilletas," $7,000.00",,,Insumos varios,,,
Marzo,," $2,036,978.00",,,,,,
01/03,Alquiler," $200,000.00",,,Alquiler,,,
03/02,Metrogas," $4,511.00",,,Servicios,,,
02/02,Internet," $12,000.00",,,Servicios,,,
11/03,Edesur," $496,067.00",,,Servicios,,,
07/03,Bolsas varias," $18,000.00",,,Insumos varios,,,
07/03,Facturas," $11,000.00",,,Insumos varios,,,
09/03,Uniones caños x 4," $14,400.00",,,Insumos Indoor,,,
11/03,Arreglo Led Cogordo ," $85,000.00",,,Insumos Indoor,,,
11/03,Shanti 500ml," $43,000.00",,,Insumos Indoor,,,
12/03,Leds bajo consumo osram alta potencia x 2 unidades," $73,000.00",,,Insumos Indoor,,,
19/03,Timer flora nuevo," $34,000.00",,,Insumos Indoor,,,
19/03,Conos de turba x 200un," $90,000.00",,45 cada pack de 100 un,Insumos Indoor,,,
19/03,Seña del 50% bandejas estructuras sala flora x 5," $775,000.00",,5 de 1x1,Gastos estructurales,,,
20/03,Sanguches," $30,000.00",,,Insumos varios,,,
20/03,Arreglo Led quantum," $84,000.00",,,Insumos Indoor,,,
27/03,Internet," $12,000.00",,,Servicios,,,
27/03,Materiales libreria," $20,000.00",,,Insumos varios,,,
27/03,Gastos cena Dedo," $35,000.00",,,Insumos varios,,,
Abril,," $2,665,879.00",,,,,,
11/04,Alquiler," $300,000.00",,,Alquiler,,,
31/03,Metrogas," $4,900.00",,,Servicios,,,
,Internet," $12,000.00",,,Servicios,,,
14/04,Edesur," $347,479.00",,,Servicios,,,
01/04,Sensor ultrasónico ," $120,000.00",,,Insumos varios,,,
03/04,"Almacen: aguas, cerveza, galletitas"," $25,000.00",,,Insumos varios,,,
08/04,Gastos escribania Seña," $800,000.00",,,Insumos varios,,,
11/04,Micorrizas GreatWhite Granular 1 x 2," $77,000.00",,,Insumos Indoor,,,
11/04,Portalamparas y niples," $12,500.00",,Restauración vege,Insumos Indoor,,,
11/04,"Portalamparas E40 (Grandes), cables, enchufes"," $57,500.00",,Restauración vege,Insumos Indoor,,,
13/04,Galponeras bajo consumo x 6 + portalamparas," $55,000.00",,Restauración vege,Insumos Indoor,,,
17/04,Pago final 50% bandejas estructuras sala flora x 5," $775,000.00",,5 de 1x1,Gastos estructurales,,,
29/04,Advaced Flawless Finish 1L," $79,500.00",,,Insumos varios,,,
Mayo,," $2,018,235.00",,,,,,
08/05,Alquiler," $300,000.00",,,Alquiler,,,
06/05,Metrogas," $4,837.00",,,Servicios,,,
04/05,Internet," $12,000.00",,,Servicios,,,
12/05,Edesur," $459,503.00",,,Servicios,,,
04/05,"Tornillos, tuercas y arandelas"," $22,000.00",,Para camas nuevas,Insumos Indoor,,,
11/05,Llaves bru," $32,000.00",,,Insumos Indoor,,,
11/05,Regatones," $4,000.00",,,Insumos Indoor,,,
11/05,Caños sistema riego," $194,000.00",,,Insumos Indoor,,,
11/05,Sanguches," $80,000.00",,,Insumos varios,,,
15/05,Picada Cosecha," $67,000.00",,,Insumos varios,,,
15/05,Cena MC," $100,000.00",,,Insumos varios,,,
15/05,Easy: Acoples y faltantes sistema riego," $70,000.00",,,Insumos Indoor,,,
16/05,Facturas," $26,000.00",,,Insumos varios,,,
18/05,Cuplas y plomeria," $10,000.00",,,Insumos Indoor,,,
18/05,Filtros de solidos y anillas," $28,400.00",,,Insumos Indoor,,,
18/05,Valvula ventosa," $24,700.00",,,Insumos Indoor,,,
18/05,Lamparas bajo consumo 40 W x 5," $26,295.00",,,Insumos Indoor,,,
20/05,Sanguches de miga," $24,000.00",,,Insumos varios,,,
20/05,Bolsas y papel para rosin," $35,000.00",,,Insumos varios,,,
20/05,Faltantes sistema riego," $40,000.00",,,Insumos Indoor,,,
20/05,Pico de loro," $45,000.00",,,Insumos Indoor,,,
20/05,Desague sistema riego," $81,000.00",,,Insumos Indoor,,,
23/05,Facturas," $16,000.00",,,Insumos varios,,,
24/05,Caños sistema riego easy," $45,000.00",,,Insumos Indoor,,,
25/05,Faltantes sistema riego - Uniones," $25,000.00",,,Insumos Indoor,,,
25/05,Sanguches almuerzo," $29,000.00",,,Insumos varios,,,
27/05,Etiquetas frascos," $86,500.00",,,Publicidad y cursos,,,
27/05,Frascos x 100 un c/tapa 200cc," $115,000.00",,,Insumos varios,,,
30/05,Cremona," $10,000.00",,,Insumos varios,,,
30/05,Soga para red de flora x 20m," $6,000.00",,,Insumos Indoor,,,
Junio,," $2,660,012.00",,,,,,
,Alquiler," $300,000.00",,,Alquiler,,,
01/06,Metrogas," $5,029.00",,,Servicios,,,
11/06,Internet," $12,000.00",,,Servicios,,,
09/06,Edesur," $270,636.00",,,Servicios,,,
01/06,Cargador pilas recargables y pilas," $67,000.00",,,Insumos varios,,,
02/06,Yerba y pilas," $12,000.00",,,Insumos varios,,,
02/06,Encendedor bic grande," $3,000.00",,,Insumos varios,,,
05/06,Encendedor Clipper black x 24un," $28,157.00",,,Insumos varios,,,
05/06,Turba Plus Carluccio 70 L x 10," $253,520.00",,,Insumos Indoor,,,
05/06,Feeding Calcium 500gr x 3," $149,502.00",,,Insumos Indoor,,,
05/06,Feeding Grow 1kg," $81,736.00",,,Insumos Indoor,,,
05/06,Nostress Dolomita 120 cm3 x 2," $5,670.00",,,Insumos Indoor,,,
05/06,Silicio Green Leaf 1kg x 4," $143,120.00",,,Insumos Indoor,,,
05/06,Namasté Shanti 500ml x 2," $46,042.00",,,Insumos Indoor,,,
08/06,Conos turba jiffy x 200 un," $85,600.00",,,Insumos Indoor,,,
12/06,Camaras seguridad Hormi 2.0 3x4 un," $360,000.00",,,Hormi 2.0,,,
12/06,Articulos varios para Hormi 2.0," $200,000.00",,,Hormi 2.0,,,
12/06,Almuerzo Hormi 2.0," $101,000.00",,,Hormi 2.0,,,
13/06,Pago Thomi y Facu corte de pasto," $80,000.00",,,Hormi 2.0,,,
13/06,Gastos eléctricos," $150,000.00",,"30 m cable, 8 focos, 3 reflectores, prensa cables, cajas estanco, enchufes",Hormi 2.0,,,
13/06,Ferretería," $20,000.00",,,Hormi 2.0,,,
13/06,Repuesto desmalezadora," $10,000.00",,,Hormi 2.0,,,
13/06,Máscara y anteojos," $40,000.00",,,Hormi 2.0,,,
13/06,Delantal p/ cortar pasto," $54,000.00",,,Hormi 2.0,,,
13/06,Machete y piedra afilado," $40,000.00",,,Hormi 2.0,,,
14/06,Campana," $15,000.00",,,Hormi 2.0,,,
15/06,Almuerzo hormi terreno," $23,000.00",,,Hormi 2.0,,,
15/06,"Barniz, aguarras, rodillo para mesa"," $24,000.00",,,Hormi 2.0,,,
17/06,Patas para cocina," $16,000.00",,,Hormi 2.0,,,
17/06,Tornillos," $7,000.00",,,Hormi 2.0,,,
17/06,Materiales eléctricos instalación cámaras," $27,000.00",,,Hormi 2.0,,,
17/06,"Materiales cocina (flexible, rosca p/ garrafa, picos de gas)"," $30,000.00",,,Hormi 2.0,,,
